"Severity","ThreadID","Date","Time","Application","Message"
"ERROR","web-0","12/01/2011","23:19:17","","the function onApplicationStart has a invalid return value , can't cast Null value to value of type [boolean]"
"ERROR","web-0","12/01/2011","23:20:57","","No matching Method/Function for SLUGGIFY(string)"
"ERROR","web-0","12/10/2011","01:38:34","","No matching property [SESSION] found in [string]"
"ERROR","web-0","12/23/2011","10:42:57","","Page /trr/support.cfm [/Users/goransvensson/cloudbees/userManagerAccessControl/webapp/trr/support.cfm] not found"
"ERROR","web-0","12/24/2011","16:24:53","","java.lang.InterruptedException"
"ERROR","web-0","04/25/2012","06:07:37","","Page /index.cfm [/Users/goransvensson/Developer/Molnfront_www_dev/webapp/index.cfm] not found"
"ERROR","web-0","04/25/2012","06:09:04","","Page /index.cfm [/Users/goransvensson/Developer/Molnfront_www_dev/webapp/index.cfm] not found"
"ERROR","web-0","04/25/2012","06:09:49","","Page /index.cfm [/Users/goransvensson/Developer/Molnfront_www_dev/webapp/index.cfm] not found"
"ERROR","web-0","04/25/2012","06:11:12","","Page /index.cfm [/Users/goransvensson/Developer/Molnfront_www_dev/webapp/index.cfm] not found"
"ERROR","web-0","04/25/2012","06:11:20","","Page /index.cfm [/Users/goransvensson/Developer/Molnfront_www_dev/webapp/index.cfm] not found"
"ERROR","web-0","04/25/2012","06:11:40","","Page /index.cfm [/Users/goransvensson/Developer/Molnfront_www_dev/webapp/index.cfm] not found"
